title,description,severity
Phản ánh về tình trạng đường hỏng,Đường bị xuống cấp nghiêm trọng gây khó khăn cho việc đi lại và nhiều tai nạn,high
Khiếu nại về việc cấp giấy chứng nhận,Đã nộp hồ sơ 2 tháng nhưng chưa được giải quyết,medium
Phản ánh tình trạng rác thải,Rác thải tích tụ gây ô nhiễm nghiêm trọng và ảnh hưởng sức khỏe người dân,high
Khiếu nại thái độ phục vụ,Cán bộ thái độ không tốt khi tiếp nhận hồ sơ,low
Phản ánh về tình trạng điện,Khu vực thường xuyên bị mất điện ảnh hưởng sinh hoạt và kinh doanh,medium
Phản ánh về an ninh trật tự,Tình trạng đánh bạc và ma túy diễn ra công khai trong khu dân cư,high
Khiếu nại việc thu phí,Thu phí sai quy định và có dấu hiệu tham nhũng,high
Phản ánh tình trạng nước sạch,Nước sinh hoạt bị ô nhiễm gây bệnh cho người dân,high
Khiếu nại về đất đai,Ranh giới đất bị lấn chiếm dẫn đến xung đột,high
Phản ánh về tiếng ồn,Karaoke gây ồn ào sau 23h đêm,low
Khiếu nại về bồi thường,Đền bù giải phóng mặt bằng không thỏa đáng,medium
Phản ánh về vệ sinh môi trường,Khu chợ không được dọn dẹp vệ sinh,low
Khiếu nại về xây dựng,Công trình xây dựng sai phép gây nứt nhà dân,high